tempo,       mem, livreMem, swap, livreSwap, cpu, disponivel, dockerdCPU, dockerdMEM
1,    240 , 5366 ,   0   , 4194, 0.25   , 5636, 0.0 , .7   
12,    241 , 5366 ,   0   , 4194, 0.25   , 5635, 0.0 , .7   
24,    241 , 5366 ,   0   , 4194, 0.25   , 5635, 0.0 , .7   
35,    242 , 5364 ,   0   , 4194, 0.25   , 5633, 0.0 , .7   
46,    242 , 5363 ,   0   , 4194, 0.25   , 5633, 0.0 , .7   
57,    243 , 5363 ,   0   , 4194, 0.25   , 5633, 0.0 , .7   
68,    243 , 5361 ,   0   , 4194, 0.25   , 5632, 0.0 , .7   
80,    243 , 5360 ,   0   , 4194, 0.25   , 5632, 0.0 , .7   
91,    243 , 5360 ,   0   , 4194, 0.25   , 5632, 0.0 , .7   
102,    244 , 5359 ,   0   , 4194, 0.25   , 5631, 0.0 , .7   
113,    243 , 5359 ,   0   , 4194, 0.25   , 5632, 0.0 , .7   
124,    244 , 5358 ,   0   , 4194, 0.25   , 5631, 0.0 , .7   
135,    270 , 5331 ,   0   , 4194, 0.25   , 5604, 0.0 , .7   
147,    269 , 5332 ,   0   , 4194, 0.24   , 5605, 0.0 , .7   
158,    242 , 5359 ,   0   , 4194, 0.24   , 5634, 0.0 , .7   
169,    243 , 5358 ,   0   , 4194, 0.24   , 5632, 0.0 , .7   
180,    243 , 5357 ,   0   , 4194, 0.24   , 5633, 0.0 , .7   
191,    244 , 5358 ,   0   , 4194, 0.25   , 5632, 0.0 , .7   
203,    244 , 5358 ,   0   , 4194, 0.25   , 5632, 0.0 , .7   
214,    244 , 5358 ,   0   , 4194, 0.24   , 5632, 0.0 , .7   
225,    244 , 5357 ,   0   , 4194, 0.24   , 5632, 0.0 , .7   
236,    244 , 5357 ,   0   , 4194, 0.24   , 5632, 0.0 , .7   
248,    244 , 5356 ,   0   , 4194, 0.24   , 5631, 0.0 , .7   
259,    244 , 5357 ,   0   , 4194, 0.24   , 5631, 0.0 , .7   
270,    244 , 5356 ,   0   , 4194, 0.24   , 5632, 0.0 , .7   
281,    244 , 5356 ,   0   , 4194, 0.24   , 5632, 0.0 , .7   
292,    244 , 5356 ,   0   , 4194, 0.25   , 5632, 0.0 , .7   
304,    243 , 5356 ,   0   , 4194, 0.25   , 5632, 0.0 , .7   
315,    244 , 5356 ,   0   , 4194, 0.25   , 5632, 0.0 , .7   
326,    243 , 5355 ,   0   , 4194, 0.25   , 5632, 0.0 , .7   
337,    244 , 5355 ,   0   , 4194, 0.25   , 5632, 0.0 , .7   
348,    243 , 5354 ,   0   , 4194, 0.25   , 5632, 0.0 , .7   
360,    271 , 5326 ,   0   , 4194, 0.25   , 5604, 0.0 , .7   
371,    271 , 5326 ,   0   , 4194, 0.25   , 5604, 6.2 , .7   
382,    244 , 5354 ,   0   , 4194, 0.25   , 5632, 0.0 , .7   
393,    244 , 5355 ,   0   , 4194, 0.25   , 5632, 0.0 , .7   
405,    244 , 5354 ,   0   , 4194, 0.25   , 5633, 0.0 , .7   
416,    244 , 5354 ,   0   , 4194, 0.25   , 5632, 0.0 , .7   
427,    244 , 5355 ,   0   , 4194, 0.24   , 5632, 0.0 , .7   
438,    244 , 5354 ,   0   , 4194, 0.25   , 5631, 0.0 , .7   
450,    244 , 5354 ,   0   , 4194, 0.25   , 5632, 0.0 , .7   
461,    244 , 5354 ,   0   , 4194, 0.25   , 5632, 0.0 , .7   
472,    244 , 5354 ,   0   , 4194, 0.25   , 5632, 0.0 , .7   
483,    244 , 5353 ,   0   , 4194, 0.25   , 5632, 0.0 , .7   
494,    244 , 5353 ,   0   , 4194, 0.25   , 5632, 0.0 , .7   
506,    244 , 5352 ,   0   , 4194, 0.25   , 5632, 0.0 , .7   
517,    243 , 5353 ,   0   , 4194, 0.25   , 5632, 0.0 , .7   
528,    244 , 5352 ,   0   , 4194, 0.25   , 5631, 0.0 , .7   
539,    244 , 5352 ,   0   , 4194, 0.25   , 5632, 0.0 , .7   
551,    244 , 5351 ,   0   , 4194, 0.25   , 5632, 0.0 , .7   
562,    244 , 5351 ,   0   , 4194, 0.25   , 5631, 0.0 , .7   
573,    244 , 5350 ,   0   , 4194, 0.25   , 5632, 0.0 , .7   
584,    244 , 5352 ,   0   , 4194, 0.25   , 5632, 0.0 , .7   
595,    244 , 5352 ,   0   , 4194, 0.25   , 5632, 0.0 , .7   
607,    244 , 5352 ,   0   , 4194, 0.25   , 5631, 0.0 , .7   
618,    245 , 5351 ,   0   , 4194, 0.25   , 5632, 0.0 , .7   
629,    245 , 5351 ,   0   , 4194, 0.25   , 5631, 0.0 , .7   
